# index, label, _pos
83,"YAREVSKAYA, JV","array([-10.18383433,  85.46572146])"
84,"KIRSTEN, K","array([-25.18214734,  98.8180512 ])"
85,"ZERBINI, S","array([-23.69826832,  95.42857465])"
86,"AMBJORN, J","array([-35.07970959,  88.75713567])"
87,"WATABIKI, Y","array([-39.26591604,  92.10192202])"
88,"PESANDO, I","array([ 0.60192703, 63.47506143])"
89,"SHTYKOV, N","array([-29.13945433, 113.77110785])"
90,"VASSILEVICH, DV","array([-25.84154717, 105.99347519])"
91,"SINGLETON, D","array([-136.70651659, -107.21681337])"
92,"BANKS, T","array([-4.90537348, 75.42663605])"
93,"BERKOOZ, M","array([-4.91421622, 77.04282981])"
94,"STEINHARDT, PJ","array([-13.92605239,  73.55007786])"
95,"SHIOKAWA, K","array([-82.28801777,  79.2667843 ])"
96,"GASPERINI, M","array([-21.56567439,  53.12316044])"
97,"RICCI, R","array([-23.47638503,  45.22132582])"
98,"AIDA, T","array([-21.41490417, 101.75505516])"
99,"KITAZAWA, Y","array([-16.3598475 ,  99.83418961])"
100,"NISHIMURA, J","array([-29.04560499,  95.35689981])"
101,"TSUCHIYA, A","array([-13.01816102, 104.45289509])"
102,"MAGGIORE, N","array([ 8.67190983, 76.40548211])"
103,"BARBON, JLF","array([-11.51041871,  67.92839802])"
104,"DEMETERFI, K","array([-11.32498643,  72.52317985])"
105,"KLEBANOV, IR","array([-4.62597302, 74.75524764])"
106,"SCHMIDHUBER, C","array([-10.62753572,  73.16476981])"
107,"SMIRNOV, FA","array([27.04526874, 86.98836375])"
108,"DEVCHAND, C","array([32.696851  , 96.03548466])"
109,"OGIEVETSKY, V","array([39.45101524, 99.59397651])"
110,"HU, Z","array([ 12.10793439, 151.39671919])"
111,"BUCHHOLZ, D","array([62.36575871, 75.27935511])"
112,"VERCH, R","array([66.94743482, 70.10928806])"
113,"BORDAG, M","array([-33.57180677, 109.06217098])"
114,"BURGESS, CP","array([-20.61973881,  69.03431097])"
115,"DERENDINGER, JP","array([-16.17967312,  61.61689098])"
116,"QUEVEDO, F","array([-21.09621937,  64.8287297 ])"
117,"QUIROS, M","array([-16.85295787,  62.21349607])"
118,"BRUSTEIN, R","array([-20.99942539,  59.63119805])"
119,"GIOVANNINI, M","array([-23.00767656,  52.60383532])"
120,"MUKHANOV, VF","array([-27.96296604,  53.11057193])"
121,"VENEZIANO, G","array([-23.99710527,  56.04784241])"
122,"TOWNSEND, PK","array([-3.42426839, 72.0049014 ])"
123,"PAPADOPOULOS, G","array([-5.23300319, 74.48457314])"
124,"KEHAGIAS, AA","array([-12.45179514,  53.66032332])"
125,"PAPANTONOPOULOS, E","array([-24.32400109,  53.67504977])"
126,"BLUMENHAGEN, R","array([-6.33683056, 67.52274226])"
127,"WISSKIRCHEN, A","array([ 1.67779952, 62.38307577])"
128,"ARODZ, H","array([-52.66377092, 133.45965912])"
129,"NURMAGAMBETOV, AY","array([-38.24535371,  97.95932185])"
130,"TKACH, VI","array([-29.07142363,  90.21959049])"
131,"BLAU, M","array([-12.204695  ,  59.99707446])"
132,"THOMPSON, G","array([-22.63100636,  58.95570357])"
133,"LECLAIR, A","array([27.95614685, 88.06389718])"
134,"KASTLER, D","array([-22.26450696,  25.10989614])"
135,"SCHUCKER, T","array([-23.66516646,  28.85916162])"
136,"UNDERWOOD, J","array([17.01356788, 72.2067954 ])"
137,"SPENCE, B","array([ 7.98299224, 71.08336398])"
138,"MACKAY, NJ","array([13.97261844, 79.43137514])"
139,"HENDERSON, RJ","array([-160.00736399,  -18.96354589])"
140,"RAJEEV, SG","array([-161.07178414,  -16.5471642 ])"
141,"BRAGA, NRF","array([-26.35827526,  64.85364752])"
142,"WOTZASEK, C","array([-30.19881969,  69.36795665])"
143,"PELTS, G","array([155.93984852, 102.82423507])"
144,"MUZINICH, IJ","array([137.03121135,  16.2495718 ])"
145,"VOKOS, S","array([135.45822958,  17.8896912 ])"
146,"HWANG, S","array([  5.04446584, 107.49978801])"
147,"RHEDIN, H","array([ -0.93401436, 101.08394856])"
148,"NAVARRO, M","array([-15.2100062 ,  40.71133638])"
149,"ALDAYA, V","array([-29.69949422,  39.01109939])"
150,"CALIXTO, M","array([-26.29924392,  36.02006242])"
151,"KELNHOFER, G","array([-91.37001488, 276.02395705])"
152,"BERNARD, D","array([22.52522883, 81.6105766 ])"
153,"FODA, O","array([ 40.36743389, 110.30021986])"
154,"WARNAAR, SO","array([ 47.76415013, 103.13656967])"
155,"TUPPER, GB","array([-33.51920146,  64.29167714])"
156,"SCHOLTZ, FG","array([-26.6021311 ,  67.37432721])"
157,"DAS, SR","array([-17.8768329 ,  68.68495593])"
158,"KLIMCIK, C","array([ 0.81277009, 49.89636511])"
159,"LANGMANN, E","array([21.71405695, 41.74333609])"
160,"TOMS, DJ","array([-33.00209521, 112.99624296])"
161,"ORTIN, T","array([-7.55334462, 61.12860873])"
162,"BRUNELLI, JC","array([-49.43899549,  58.01018831])"
163,"DAS, A","array([-34.37208597,  63.37526292])"
164,"BERSHADSKY, M","array([-2.87708908, 71.87542499])"
165,"JOHANSEN, A","array([-12.09652449,  67.68243799])"
166,"SADOV, V","array([-7.34774961, 71.79433759])"
167,"VAFA, C","array([-4.90122211, 72.45323226])"
168,"BOWCOCK, P","array([  2.24017545, 103.15381512])"
169,"CORRIGAN, E","array([  4.49108873, 106.48180719])"
170,"DOREY, P","array([ 3.73651087, 92.93292971])"
171,"RIETDIJK, R","array([  5.17173776, 101.85051171])"
172,"CRESCIMANNO, M","array([ -2.31996533, 102.34275284])"
173,"SCHNITZER, HJ","array([-5.85349874, 98.13783355])"
174,"KRIVONOS, S","array([ 2.2556596 , 82.97486219])"
175,"SORIN, A","array([ 8.97135924, 85.26724935])"
176,"LARSEN, AL","array([-37.2042964 ,  50.45248769])"
177,"SANCHEZ, N","array([-45.26358555,  58.16248772])"
178,"NIELSEN, NK","array([-15.77655422,  36.06452306])"
179,"QUAADE, UJ","array([-14.7436536 ,  27.77659444])"
180,"PROVERO, P","array([-5.85189984, 82.71818068])"
181,"VINTI, S","array([-7.65060793, 86.93474497])"
182,"PENATI, S","array([ 1.45904186, 75.47360808])"
183,"ZANON, D","array([-3.97383126, 66.5493689 ])"
184,"SUSSKIND, L","array([-7.09045392, 77.37604871])"
185,"MCCARTOR, G","array([-47.07133278,  82.04389716])"
186,"ROBERTSON, DG","array([-42.83378641,  94.17411499])"
187,"BRECKENRIDGE, JC","array([-14.19859485,  74.26398178])"
188,"ELIAS, TGSV","array([-19.47173584,  76.40187826])"
189,"MEZINCESCU, L","array([-139.65258712,  233.33740451])"
190,"NEPOMECHIE, RI","array([-137.60291319,  232.72006336])"
191,"DISTLER, J","array([-9.79019173, 75.64752387])"
192,"KACHRU, S","array([-4.82423206, 73.36479641])"
193,"LUSANNA, L","array([-20.34064783,  16.94671279])"
194,"BANDOS, I","array([-4.64771297, 86.85659218])"
195,"PASTI, P","array([-1.85949481, 81.65393071])"
196,"SOROKIN, D","array([-5.47877616, 81.15517909])"
197,"TONIN, M","array([-1.32361333, 77.77745473])"
198,"VOLKOV, D","array([-1.28076958, 85.41324868])"
199,"FEINGOLD, AJ","array([124.18039572, -64.933724  ])"
200,"RIES, JFX","array([123.22626245, -67.0312989 ])"
201,"WEINER, MD","array([122.03307131, -65.05539805])"
202,"BOETTGER, W","array([-12.96657761,  19.71295838])"
203,"WISSOWSKI, H","array([-11.3729166 ,  19.84459679])"
204,"KASTRUP, HA","array([-12.51057423,  27.6221615 ])"
205,"BUGRIJ, AI","array([  37.07127872, -146.03693413])"
206,"SHADURA, VN","array([  39.30428006, -146.39956237])"
207,"SAMOLS, TM","array([-119.94485658,  -77.62097618])"
208,"LOEFFELHOLZ, J","array([72.33011492, 72.51215704])"
209,"MORCHIO, G","array([68.54297499, 73.75650744])"
210,"STROCCHI, F","array([68.39025719, 72.44169709])"
211,"WETTERICH, C","array([-42.57512813,  74.69753838])"
212,"PLEFKA, JC","array([-12.13478664,  74.32428455])"
213,"SHAPIRO, IL","array([11.79342026, 82.28393685])"
214,"BENEVENTANO, CG","array([-18.34708043,  99.84460885])"
215,"SANTANGELO, EM","array([-11.73952388,  93.94731082])"
216,"MODANESE, G","array([ 8.07558653, 20.01169712])"
217,"LIAO, S","array([-64.87435631,  71.91362571])"
218,"FERRARI, F","array([-2.94226254, 43.54946335])"
219,"SOBCZYK, J","array([ 1.97811712, 36.52437939])"
220,"GRISARU, MT","array([-9.72634446, 71.26839125])"
221,"FURSAEV, DV","array([-34.9224112 ,  54.50576982])"
222,"SOLODUKHIN, SN","array([-23.93366215,  59.23207126])"
223,"ANTONOV, AV","array([  1.46157496, 120.63764222])"
224,"BELOV, AA","array([  0.78351938, 119.69200551])"
225,"FEIGIN, BL","array([  0.21571693, 110.40841903])"
226,"GHOSHAL, D","array([-8.69746812, 69.04417135])"
227,"PANDA, S","array([-16.69152859,  65.06923491])"
228,"KAISER, A","array([-30.94974451,  47.81843114])"
229,"CHODOS, A","array([-25.70163314,  50.25364954])"
230,"AXENIDES, M","array([-23.43283033,  65.29017383])"
231,"MOLLER, J","array([-19.00516589,  65.7089705 ])"
232,"ABE, O","array([15.01171873, 32.6900966 ])"
233,"KOSTOV, IK","array([ 4.15596551, 78.83545696])"
234,"GANDENBERGER, GM","array([16.31943343, 93.19088397])"
235,"STRICKLAND, M","array([-58.05939384,  75.65225359])"
236,"KOJIMA, T","array([119.58124438, -92.60166494])"
237,"MIKI, K","array([118.55634961, -95.44620811])"
238,"QUANO, Y","array([117.06584997, -94.29779966])"
239,"KIYANOVCHARSKY, SA","array([-129.58490868,  232.94370261])"
240,"JR, SJG","array([-14.71626631,  81.56301435])"
241,"KETOV, SV","array([-1.84145002, 88.62040084])"
242,"CHATTERJEE, R","array([26.60111738, 29.41535431])"
243,"IOCHUM, B","array([-20.84760553,  32.02530101])"
244,"FROLOV, SA","array([29.57675809, 41.92851888])"
245,"HALPERN, MB","array([ 2.68662593, 68.58808722])"
246,"OBERS, N","array([ 0.98413748, 61.63857409])"
247,"CLUBOK, K","array([ 0.74888536, 62.59559279])"
248,"FUNAHASHI, K","array([ -9.001564  , 133.38173232])"
249,"KASHIWA, T","array([ -9.33763433, 136.24070198])"
250,"SAKODA, S","array([ -8.44777009, 134.84212957])"
251,"FUJII, K","array([ -8.89748747, 124.74527039])"
252,"BERERA, A","array([-3.7479852 , 41.11870603])"
253,"FANG, L","array([-1.76441958, 33.17704045])"
254,"CIRILLO, ENM","array([-26.30767161, 135.42659923])"
255,"GONNELLA, G","array([-27.57181088, 142.07199999])"
256,"FUJITA, A","array([-40.25928147, 114.8628758 ])"
257,"HIKAMI, S","array([-35.20534507, 108.25056604])"
258,"WANG, DF","array([ 12.20054264, 136.22659437])"
259,"GRUBER, C","array([ 10.8002189 , 129.55092585])"
260,"PARISI, G","array([-43.55857793, 108.29639778])"
261,"CHAMON, CDC","array([-46.71816034,  85.37421974])"
262,"MUDRY, C","array([-38.2336367 ,  75.34584518])"
263,"WEN, X","array([-46.73754218,  79.24933621])"
264,"KWON, HJ","array([-100.59856841, -130.1449241 ])"
265,"HOUGHTON, A","array([-102.68731096, -129.24584631])"
266,"MARSTON, JB","array([-102.42247904, -131.5208731 ])"
267,"NACHTERGAELE, B","array([101.40712519, -78.85247557])"
268,"WIEGMANN, PB","array([ 30.38503505, 112.63943578])"
269,"ZABRODIN, AV","array([ 36.07000711, 115.9092196 ])"
270,"SMIRNOV, Y","array([-18.90303457,  36.18583061])"
271,"TURBINER, A","array([-17.84157857,  44.97921783])"
272,"KISIL, VV","array([-183.69765594,  -36.174498  ])"
273,"TANIMOTO, M","array([ 66.65609868, 274.71383374])"
274,"MENOTTI, P","array([-29.22566344,  66.97568901])"
275,"SEMINARA, D","array([-15.83094538,  71.47344112])"
276,"HAWKING, SW","array([-14.83854951,  54.52952746])"
277,"HOROWITZ, GT","array([-13.73846875,  74.97761301])"
278,"IZQUIERDO, JM","array([-3.40323056e-03,  6.40698209e+01])"
279,"PELDAN, P","array([-185.62459036,  127.43636631])"
280,"KOGUT, JB","array([-55.44227387,  84.0331862 ])"
281,"WANG, KC","array([-62.70116272,  86.48517342])"
282,"GOLTERMAN, M","array([-23.89897385,  27.01734905])"
283,"SHAMIR, Y","array([-21.28094662,  35.26869863])"
284,"BRAMBILLA, N","array([ 8.19554219, 10.85264959])"
285,"PROSPERI, GM","array([9.96820848, 7.62224825])"
286,"KORCHEMSKY, GP","array([-46.62398136,  92.33985098])"
287,"LUTY, MA","array([-15.41027014,  61.94677332])"
288,"MARCHRUSSELL, J","array([-16.66930112,  60.96851683])"
289,"MURAYAMA, H","array([-11.30999041,  67.11195814])"
290,"MACORRA, ADL","array([-27.00013643,  64.02661584])"
291,"BLASONE, M","array([-30.97709869, 123.33709036])"
292,"VITIELLO, G","array([-32.61590678, 126.31791823])"
293,"ADAM, C","array([-16.12970809,  84.68538094])"
294,"LUCHA, W","array([ 106.63936066, -121.26456448])"
295,"SCHOBERL, FF","array([ 109.04763716, -121.78975491])"
296,"DITTMAIER, S","array([-18.3107707 , 255.59859037])"
297,"GROSSEKNETTER, C","array([-16.88280334, 257.35980624])"
298,"FARAGGI, A","array([-217.0316377 ,   28.85153455])"
299,"LOPEZ, J","array([-31.30462315,  52.28126341])"
300,"NANOPOULOS, D","array([-32.52555923,  51.73382078])"
301,"GUSYNIN, VP","array([-50.78171845,  98.17551005])"
302,"MIRANSKY, VA","array([-39.92400337,  88.9458203 ])"
303,"SHOVKOVY, IA","array([-36.11389324,  84.2240162 ])"
304,"KOSTELECKY, A","array([-25.88968408,  68.91545537])"
305,"POTTING, R","array([-30.3774169 ,  77.98588381])"
306,"CHAUDHURI, S","array([ 4.99625499, 76.71277022])"
307,"CHUNG, SW","array([10.50367344, 65.49015653])"
308,"HOCKNEY, G","array([10.21555442, 64.52189256])"
309,"LYKKEN, J","array([ 9.18353175, 54.76392789])"
310,"COLLADAY, D","array([-32.07883026,  64.54814162])"
311,"NACULICH, SG","array([-4.90011954, 96.67773845])"
312,"BLOCH, JCR","array([-162.64101284,  -44.00802905])"
313,"PENNINGTON, MR","array([-164.45379435,  -45.50251164])"
314,"BUGRIJ, A","array([24.91872606, 95.4909751 ])"
315,"RUBTSOV, V","array([18.44139796, 91.15987867])"
316,"SHADURA, V","array([25.95765252, 94.46301651])"
317,"MAS, J","array([-7.75988091, 80.01094668])"
318,"RAMOS, E","array([-7.32117107, 92.92498553])"
319,"KHARCHEV, S","array([15.45473659, 97.26543639])"
320,"MIRONOV, A","array([ 9.59130097, 93.5811854 ])"
321,"MOROZOV, A","array([ 9.8686965 , 96.42164317])"
322,"LIAN, BH","array([16.84218012, 75.49508385])"
323,"ZUCKERMAN, GJ","array([22.93730507, 68.86133641])"
324,"HAKOBYAN, T","array([-25.28857995,  88.05964015])"
325,"SEDRAKYAN, A","array([-15.53625274,  83.59105556])"
326,"SOLOVIEV, VO","array([-114.28566236, -100.44124774])"
327,"ANEZIRIS, C","array([ 99.75366884, -67.9015308 ])"
328,"FIORE, G","array([ 3.75805059, 28.81936628])"
329,"FREED, DS","array([14.23620814, 81.5992419 ])"
330,"SIMONI, A","array([-45.17225989,  50.41075947])"
331,"STERN, A","array([-46.51717163,  51.24474887])"
332,"YAKUSHIN, I","array([-49.8932273 ,  47.16787267])"
333,"FIGUEROAOFARRILL, J","array([ 5.01115116, 71.54356894])"
334,"STANCIU, S","array([ 7.6303682 , 73.31393318])"
335,"KOBAYASHI, T","array([-3.51787988, 48.20161942])"
336,"SATO, H","array([-10.08712477,  37.78512986])"
337,"KIEFER, C","array([-32.36998934,  48.26603908])"
338,"MARTINO, SD","array([-33.76000521, 124.68386096])"
339,"SIENA, SD","array([-34.79124956, 124.41758716])"
340,"REZNIK, B","array([-29.40408449,  40.46441433])"
341,"AHARONOV, Y","array([-29.65609079,  37.97041553])"
342,"PESHKIN, M","array([156.76739149, 208.01824595])"
343,"LIPKIN, HJ","array([154.56198744, 207.6343723 ])"
344,"NOVIKOV, PGGSP","array([-208.40129677,  -30.27350314])"
345,"ALFINITO, E","array([-32.28981087, 131.25530841])"
346,"LEO, M","array([-32.26957655, 138.07559256])"
347,"LEO, RA","array([-33.51326605, 137.56845518])"
348,"PALESE, M","array([-32.88138175, 136.25938011])"
349,"SOLIANI, G","array([-31.52365322, 134.22497133])"
350,"MAHARANA, J","array([-19.03948182,  63.26029965])"
351,"ANISHETTY, R","array([-19.93654782,  54.5619442 ])"
352,"BASU, R","array([-27.4615221 ,  56.37811162])"
353,"DASS, NDH","array([-31.07153841,  63.74346802])"
354,"SHARATCHANDRA, HS","array([-26.33172183,  53.38131119])"
355,"LEE, RN","array([148.01696812, -27.60565697])"
356,"MILSTEIN, AI","array([145.78362999, -28.52149104])"
357,"COGNOLA, G","array([-12.97589372,  90.23722918])"
358,"VANZO, L","array([-23.28156725,  94.09891961])"
359,"BATAKIS, NA","array([-11.18802467,  44.98852213])"
360,"FORT, H","array([-49.52430598,  72.68798705])"
361,"GAMBINI, R","array([-40.57507625,  74.0310467 ])"
362,"GUNAYDIN, M","array([ 1.20154554, 76.85213713])"
363,"NICOLAI, H","array([ 4.31881627, 72.44663443])"
364,"ALEXANDROV, M","array([16.61514548, 61.77813224])"
365,"KONTSEVICH, M","array([21.95761266, 58.41943822])"
366,"SCHWARZ, A","array([ 5.75109136, 67.17293186])"
367,"ZABORONSKY, O","array([18.89641739, 60.7642727 ])"
368,"SKORIK, S","array([21.9686398 , 87.54415411])"
369,"SALEUR, H","array([28.73067575, 92.35816197])"
370,"AHARONY, O","array([-5.61870752, 75.75534844])"
371,"DAUL, J","array([-47.18358332, -71.85976278])"
372,"DOWKER, JS","array([-31.1052334 , 106.50864993])"
373,"APPS, JS","array([-30.01697958, 106.81021611])"
374,"MOREIRA, ES","array([-172.85489152,   -2.30393506])"
375,"KEHAGIAS, A","array([-10.45808787,  58.45530019])"
376,"MADORE, J","array([-1.10623097, 39.3768917 ])"
377,"MOURAD, J","array([-6.12823763, 45.59772706])"
378,"ZOUPANOS, G","array([-7.29319199, 57.95303508])"
379,"SCHELSTRAETE, S","array([ -39.82678981, -109.74660817])"
380,"VERSCHELDE, H","array([ -39.2583607 , -107.60840386])"
381,"TARRACH, R","array([-13.8387002 ,  58.90365309])"
382,"CAPPELLI, A","array([ 0.69746322, 41.38332894])"
383,"TRUGENBERGER, CA","array([-16.9272178,  47.5412024])"
384,"ZEMBA, GR","array([ 3.20079224, 53.54017387])"
385,"ENRIQUEZ, B","array([33.52346549, 98.90612371])"
386,"MARTELLINI, M","array([10.81337956, 75.80190729])"
387,"SPREAFICO, M","array([19.69483572, 82.55968051])"
388,"YOSHIDA, K","array([22.72083124, 90.05986036])"
389,"ASOREY, M","array([ 8.17948416, 80.72352121])"
390,"FALCETO, F","array([12.67248321, 81.46645192])"
391,"LOPEZ, JL","array([ 8.62783807, 79.87071477])"
392,"LUZON, G","array([-1.33524179, 76.38266633])"
393,"AURILIA, A","array([-44.33450547,  62.97116383])"
394,"SMAILAGIC, A","array([-49.68427636,  62.22663612])"
395,"SPALLUCCI, E","array([-45.72179823,  63.41333523])"
396,"HOTT, M","array([-37.38639052,  77.66967114])"
397,"LYKASOV, GI","array([175.67212754,  12.6493368 ])"
398,"SERGEENKO, MN","array([177.23911425,  14.19335529])"
399,"KANNO, H","array([ 14.47089657, 103.30195204])"
400,"OHTA, YU","array([ 21.02019039, 107.49700564])"
401,"SEMIKHATOV, IBRMA","array([-132.15674352,  -68.45268163])"
402,"DIAMANTINI, MC","array([-26.02592325,  47.57183208])"
403,"SODANO, P","array([-30.21010361,  60.47977911])"
404,"PIGUET, O","array([17.60550685, 76.1825249 ])"
405,"CHEN, Q","array([24.88304208, 91.28117633])"
406,"LUO, X","array([17.37253942, 87.28697335])"
407,"GUO, S","array([25.3712802 , 90.11081747])"
408,"BIEVRE, SD","array([ 98.45064822, 236.93824153])"
409,"ESPOSTI, MD","array([ 98.44598382, 239.13115147])"
410,"GIACHETTI, R","array([ 95.89031677, 238.04933615])"
411,"HARRIS, MG","array([-37.73351163,  79.83660137])"
412,"PITKANEN, M","array([ 82.04532817, 279.14534248])"
413,"RUSSO, JG","array([-9.45097179, 60.88293553])"
414,"TSEYTLIN, AA","array([-9.86089423, 68.9840524 ])"
415,"YUNG, CM","array([ 39.3111266 , 113.04881674])"
416,"BATCHELOR, MT","array([ 40.67806031, 104.26484961])"
417,"BAXTER, RJ","array([ 43.78943582, 109.28245549])"
418,"OROURKE, MJ","array([ 44.26984689, 110.5744852 ])"
419,"KIM, Y","array([-21.2645616 ,  93.87492049])"
420,"YAMAWAKI, K","array([-31.72611958,  88.6093003 ])"
421,"SRIVASTAVA, YN","array([-33.82578672, 129.20618194])"
422,"WIDOM, A","array([-32.40223536, 129.16685937])"
423,"VOLKOV, MS","array([-4.8406437 , 95.50701599])"
424,"BRODBECK, O","array([ -1.63523422, 100.44616766])"
425,"LAVRELASHVILI, G","array([ -3.64868329, 104.10522759])"
426,"STRAUMANN, N","array([ -5.26379253, 107.05123044])"
427,"ERDENEBAYAR, D","array([ 21.24456821, 246.80491075])"
428,"LEMES, V","array([25.65739841, 66.23760463])"
429,"RENAN, R","array([28.59044109, 65.44773003])"
430,"SORELLA, SP","array([16.08082919, 67.71618603])"
431,"WARD, RS","array([121.89445907, -80.99425456])"
432,"VEGA, HJD","array([-44.02403625,  52.29600713])"
433,"MITTELBRUNN, JR","array([-50.93299997,  48.92886809])"
434,"MEDRANO, MR","array([-49.98026938,  51.99465547])"
435,"GRABOWSKI, MP","array([38.55406272, 88.54670272])"
436,"MATHIEU, P","array([30.89379624, 85.61150944])"
437,"ZHOU, Y","array([45.61523374, 94.1726832 ])"
438,"POLETTI, SJ","array([ -60.24518288, -129.16693985])"
439,"TWAMLEY, J","array([ -61.29940216, -131.16759919])"
440,"WILTSHIRE, DL","array([ -62.6361046 , -129.17648425])"
441,"NIEMI, AJ","array([26.78414155, 54.53535195])"
442,"NEVES, C","array([-31.66324081,  66.67604975])"
443,"ABREU, EMCD","array([-32.77888425,  74.40145764])"
444,"GIRARDELLO, L","array([-4.89579178, 60.58724077])"
445,"GIVEON, A","array([-6.41030411, 62.34459498])"
446,"PORRATI, M","array([-5.85445032, 59.54061191])"
447,"ZAFFARONI, A","array([-2.88842429, 61.39630925])"
448,"OZ, Y","array([-2.68971396, 79.47108492])"
449,"CHEN, L","array([-44.51546359,  79.63288882])"
450,"DUNNE, G","array([-28.6165717 ,  77.63565741])"
451,"HALLER, K","array([-41.31868278,  80.16776349])"
452,"LIMLOMBRIDAS, E","array([-38.55746144,  79.06336213])"
453,"JIMBO, M","array([ 23.71351777, 113.88940025])"
