# index, label, _pos
234,"HARRIS, WE","array([ 54.66031533, -21.83856156])"
235,"SMAIL, I","array([ 64.63366257, -31.52699783])"
236,"HOGG, DW","array([ 62.01477563, -29.81674913])"
237,"BLANDFORD, R","array([ 63.97606681, -28.85735436])"
238,"COHEN, JG","array([ 63.27623112, -28.41207134])"
239,"DJORGOVSKI, ACESG","array([ 69.00044812, -30.03679317])"
240,"D, R","array([67.55894509, 22.71069906])"
241,"L, IG","array([68.62989513, 22.34642841])"
242,"L, S","array([66.68722268, 16.73406769])"
243,"COLBERT, EJM","array([ 67.43883632, -33.6544299 ])"
244,"PETRE, R","array([ 60.63926094, -39.81627916])"
245,"SCHLEGEL, EM","array([ 71.10221003, -38.48731777])"
246,"RYDER, SD","array([ 70.78719608, -33.61835305])"
247,"MUNSHI, D","array([ 62.64251343, -10.88977597])"
248,"SOURADEEP, T","array([ 57.91552639, -14.737474  ])"
249,"STAROBINSKY, AA","array([ 56.95962877, -15.31185491])"
250,"KRAUSS, LM","array([ 38.90930708, -24.11858991])"
251,"ZWAAN, MA","array([ 57.80792349, -22.67215464])"
252,"HULST, JMVD","array([ 66.06757194, -16.43000994])"
253,"BLOK, WJGD","array([ 67.86693913, -26.40450583])"
254,"MCGAUGH, SS","array([ 69.13381976, -21.04677728])"
255,"GOULD, A","array([ 53.27705867, -30.42745977])"
256,"LIPMAN, K","array([ 77.17668637, -31.26102693])"
257,"PETTINI, M","array([ 61.79058121, -26.24116886])"
258,"HUNSTEAD, R","array([ 69.92973061, -36.24443013])"
259,"GRINDER, M","array([75.57411935, -6.19363086])"
260,"JAUNSEN, AO","array([ 63.45102649, -32.95755371])"
261,"JABLONSKI, M","array([ 70.87829877, -35.01263386])"
262,"PETTERSEN, BR","array([ 71.0848866 , -34.00334101])"
263,"STABELL, R","array([ 68.56165313, -32.74337974])"
264,"BRANDT, WN","array([ 65.55421554, -35.98249525])"
265,"POUNDS, KA","array([ 70.64755693, -39.5619204 ])"
266,"FINK, H","array([ 64.03024312, -36.43853296])"
267,"YAMAMOTO, K","array([ 49.93795865, -34.43988394])"
268,"SASAKI, M","array([ 53.29134515, -46.94711068])"
269,"TANAKA, T","array([ 45.2389524 , -36.29093289])"
270,"SCHOENIGER, F","array([ 79.19642672, -48.6704585 ])"
271,"GHELLER, C","array([ 56.89941017, -13.52046553])"
272,"MOSCARDINI, L","array([ 63.37923225, -21.2708359 ])"
273,"PANTANO, O","array([ 54.70140171, -22.5803218 ])"
274,"GNEDIN, OY","array([ 56.30382675, -21.99071591])"
275,"GOODMAN, J","array([ 52.23981986, -21.39182757])"
276,"FREI, Z","array([ 54.47341549, -20.68412781])"
277,"MERRIFIELD, KKMR","array([ 137.60746742, -218.74141083])"
278,"GAZTANAGA, E","array([ 56.09313028, -18.55965803])"
279,"CROFT, R","array([ 63.5116355 , -19.73228038])"
280,"DALTON, G","array([ 65.56099815, -27.91484119])"
281,"WANG, Y","array([ 62.28893217, -24.70822635])"
282,"SCIALOM, D","array([ 29.08674206, -10.4292355 ])"
283,"KIBBLE, TWB","array([ 53.35792642, -26.96100259])"
284,"VILENKIN, A","array([ 41.87233111, -21.69187271])"
285,"KURKISUONIO, H","array([ 31.51368075, -19.48878989])"
286,"LAINE, M","array([26.74887378, -7.29138242])"
287,"MACORRA, ADL","array([-140.41207098,  -79.76931538])"
288,"BLASONE, M","array([236.12310609,  76.50147138])"
289,"VITIELLO, G","array([235.88869397,  75.12929634])"
290,"SENGUPTA, S","array([ 15.35855923, -55.73941212])"
291,"PAL, PB","array([ 23.77396978, -55.12602811])"
292,"ATHAR, H","array([ 23.87878721, -26.19591196])"
293,"PELTONIEMI, JT","array([ 27.66634633, -29.3086839 ])"
294,"SMIRNOV, AY","array([ 35.45497597, -25.36245836])"
295,"MELFO, A","array([27.83112522, -7.16902111])"
296,"PERIVOLAROPOULOS, L","array([36.57668799, -9.85499418])"
297,"LOPEZ, J","array([260.64907281, -20.22959656])"
298,"NANOPOULOS, D","array([259.3012656 , -19.41457899])"
299,"SHIROMIZU, T","array([ 42.81100326, -44.4576254 ])"
300,"MORIKAWA, M","array([ 44.63356176, -43.5249546 ])"
301,"MUREIKA, JR","array([ 195.7443976 , -165.97305781])"
302,"MANN, RB","array([ 197.34163594, -165.8601777 ])"
303,"HEISELBERG, H","array([ 27.66715363, -50.78217093])"
304,"JUNGMAN, G","array([ 48.4977563 , -25.43214105])"
305,"KAMIONKOWSKI, M","array([ 46.10333673, -28.1369551 ])"
306,"BOYANOVSKY, D","array([31.74887762, -7.99940389])"
307,"BRAHM, DE","array([27.71435642, -3.48458824])"
308,"GONZALEZRUIZ, A","array([26.65330275, -4.64790836])"
309,"HOLMAN, R","array([31.304978  , -8.28870833])"
310,"TAKAKURA, FI","array([27.26672971, -4.08253697])"
311,"BUCHER, M","array([48.93419883, -8.96730883])"
312,"GOLDHABER, AS","array([46.1108175 ,  1.59063121])"
313,"TUROK, N","array([50.09550546, -8.30981896])"
314,"BANKS, T","array([ 46.59720718, -24.78693943])"
315,"BERKOOZ, M","array([ 43.31715729, -15.79133592])"
316,"STEINHARDT, PJ","array([ 50.88179497, -17.39597666])"
317,"BRUSTEIN, R","array([ 36.45041442, -10.34822404])"
318,"GASPERINI, M","array([42.93422606, -8.59097454])"
319,"GIOVANNINI, M","array([37.15654175, -7.74559156])"
320,"MUKHANOV, VF","array([ 42.82282493, -19.15312262])"
321,"VENEZIANO, G","array([ 43.40295433, -13.98360003])"
322,"STROMINGER, A","array([-120.75936304, -116.24425927])"
323,"LARSEN, AL","array([ 42.65699039, -16.71019584])"
324,"SANCHEZ, N","array([ 44.14671935, -11.33500876])"
325,"COHEN, E","array([ 63.37971313, -38.68017503])"
326,"PIRAN, T","array([ 55.29218258, -32.56183742])"
327,"BUOTE, DA","array([ 74.91564684, -22.71144604])"
328,"TSAI, JC","array([ 83.12387119, -12.9248103 ])"
329,"SIRLIN, A","array([ 40.91947595, -28.8543233 ])"
330,"GILBERT, AM","array([ 53.55288115, -27.27010257])"
331,"JOHNSTON, KV","array([ 54.18380475, -27.54644426])"
332,"SPERGEL, DN","array([ 56.30007434, -21.59989707])"
333,"REYNOLDS, CS","array([ 66.20126235, -36.83148158])"
334,"FABIAN, AC","array([ 65.83426547, -34.52690838])"
335,"ALIGHIERI, SDS","array([ 67.33996465, -29.42422178])"
336,"CIMATTI, A","array([ 67.27958241, -31.06765616])"
337,"SURPI, GC","array([65.80096077, -2.21825417])"
338,"HARARI, DD","array([62.28190607, -0.30667012])"
339,"FRIEMAN, JA","array([ 63.19229768, -13.85840147])"
340,"SCHIAVON, RP","array([ 40.1918165 , -31.24351709])"
341,"BATALHA, C","array([ 34.15009313, -27.72379002])"
342,"BARBUY, B","array([ 43.30440383, -26.51090908])"
343,"BERTOLAMI, O","array([56.02591861, -2.66228736])"
344,"GARCIABELLIDO, J","array([ 46.1969057 , -14.84758789])"
345,"SCOTT, D","array([ 61.19162317, -18.96981237])"
346,"TEGMARK, M","array([ 59.16374902, -19.76035662])"
347,"STEINMETZ, M","array([ 61.6706365, -22.1223639])"
348,"CHEN, X","array([ 55.16196742, -33.12878763])"
349,"ABRAMOWICZ, MA","array([ 47.74090255, -37.64054899])"
350,"LASOTA, J","array([ 54.14514389, -40.80688118])"
351,"YI, I","array([ 57.48225184, -32.67088694])"
352,"COLLESS, M","array([ 64.52376149, -24.71179079])"
353,"HUNSTEAD, MPR","array([ 88.6980585 , -31.80260865])"
354,"CAMPOS, A","array([ 67.95936256, -21.7228184 ])"
355,"YEPES, G","array([ 65.14056543, -16.25194879])"
356,"KLYPIN, A","array([ 62.60439191, -17.39372846])"
357,"MURANTE, G","array([ 67.95025004, -13.20827402])"
358,"PROVENZALE, A","array([ 68.25175195, -11.82592295])"
359,"BORGANI, S","array([ 61.72972113, -17.18382591])"
360,"POGOSYAN, D","array([ 58.22070999, -16.54431681])"
361,"STAROBINSKY, A","array([ 49.16284394, -13.89344729])"
362,"TRIPICCO, MJ","array([ 46.16284377, -12.91659883])"
363,"BELL, RA","array([ 52.70762595, -23.72185289])"
364,"HUFNAGEL, BDB","array([ 46.56451376, -13.1808786 ])"
365,"PETHICK, CJ","array([ 34.7309055, -49.7957695])"
366,"THORSSON, V","array([ 36.33313012, -48.62345913])"
367,"MATHAI, AM","array([ 97.14159295, -38.12970438])"
368,"COLLINS, CA","array([ 66.8258729 , -28.11424483])"
369,"GUZZO, L","array([ 64.56883683, -30.26366681])"
370,"NICHOL, RC","array([ 66.203011  , -27.23882929])"
371,"LUMSDEN, SL","array([ 68.55013778, -27.74097544])"
372,"NELLA, HD","array([ 70.84676171, -15.14052949])"
373,"PATUREL, G","array([ 67.2053158, -17.8638704])"
374,"BROSTROM, L","array([-146.81687287,  -87.34096133])"
375,"MANNERVIK, S","array([-145.75511882,  -88.25260975])"
376,"ROYEN, P","array([-144.84896935,  -87.19777625])"
377,"WANNSTROM, A","array([-145.89840713,  -86.2950685 ])"
378,"ALEXANDER, T","array([ 63.85951383, -31.33340455])"
379,"RASIO, FA","array([ 50.76537467, -47.47264611])"
380,"STEIGMAN, G","array([ 42.72355048, -25.429891  ])"
381,"FELTEN, JE","array([ 34.86162383, -22.49800528])"
382,"KNAPEN, JH","array([ 64.88055024, -22.07577856])"
383,"BECKMAN, JE","array([ 65.54747461, -18.60897137])"
384,"SHLOSMAN, I","array([ 69.56024857, -29.33044634])"
385,"PELETIER, RF","array([ 59.76634852, -20.35086183])"
386,"HELLER, CH","array([ 70.99772002, -19.69946221])"
387,"JONG, RSD","array([ 72.08504206, -19.98198392])"
388,"AL, KGCLBEAAJBE","array([-122.08313425,   60.40748673])"
389,"GORSKI, KM","array([ 63.07095938, -14.45708803])"
390,"STOMPOR, R","array([ 63.07983552, -16.05501778])"
391,"BANDAY, AJ","array([ 64.68161044, -13.56532975])"
392,"RATRA, B","array([ 62.59901936, -17.02492183])"
393,"IBATA, R","array([ 59.31426222, -19.31423107])"
394,"KERKWIJK, MHV","array([ 56.63812763, -40.24554856])"
395,"KULKARNI, SR","array([ 61.10429159, -35.46199094])"
396,"MATTHEWS, K","array([ 62.72739643, -32.82456507])"
397,"NEUGEBAUER, G","array([ 61.69745029, -31.37478772])"
398,"GRILLMAIR, CJ","array([ 59.21781126, -23.74283149])"
399,"IRWIN, M","array([ 61.13648913, -26.25055003])"
400,"CHAKRABARTI, SK","array([ 81.85770316, -40.90760921])"
401,"YU, JW","array([ 38.72571456, -45.14542239])"
402,"SHAO, M","array([ 43.83491099, -40.18316335])"
403,"GOLDONI, P","array([ 68.27525986, -43.55089611])"
404,"MUSSO, C","array([ 70.14055677, -42.21897223])"
405,"CARAVEO, PA","array([ 59.68793903, -35.30675357])"
406,"BIGNAMI, GF","array([ 68.89067069, -39.54144438])"
407,"MEREGHETTI, S","array([ 63.66472911, -40.71532569])"
408,"HUTCHINGS, JB","array([ 62.59886757, -23.3900388 ])"
409,"MORRIS, SC","array([ 71.99488695, -13.30486575])"
410,"GUSSIE, G","array([ 77.83188957, -20.13341775])"
411,"TASMANIA, UO","array([ 87.49084304, -15.56863381])"
412,"KING, DL","array([ 60.89416594, -34.11596379])"
413,"SMITH, LJ","array([ 58.57988288, -26.22873449])"
414,"HUNSTEAD, RW","array([ 72.08695887, -34.64082767])"
415,"PINO, EMDGD","array([ 41.99030241, -27.36038724])"
416,"HETEM, A","array([ 39.5520547 , -18.26199022])"
417,"HORVATH, JE","array([ 34.04567993, -22.66617347])"
418,"SOUZA, CAWD","array([ 40.00960289, -18.45602524])"
419,"VILLELA, T","array([ 51.91526118, -14.63311044])"
420,"ARAUJO, JCND","array([ 36.75749298, -21.12944163])"
421,"FOGLIZZO, T","array([ 34.22146042, -32.6084937 ])"
422,"TAGGER, M","array([ 58.08491723, -27.87295321])"
423,"JIMENEZ, R","array([ 60.47650389, -22.65288699])"
424,"JORGENSEN, UG","array([48.63423506, -9.67530622])"
425,"THEJLL, P","array([ 50.14136264, -15.80571205])"
426,"MACDONALD, J","array([ 46.80039873, -24.03108141])"
427,"DUBINSKI, KKJ","array([ 53.94685923, 190.82673307])"
428,"LARSEN, GB","array([ 15.46663354, -48.25669965])"
429,"MADSEN, J","array([ 22.04063143, -44.56705586])"
430,"MATHEWS, WG","array([83.19558803, -5.84004836])"
431,"NAKAO, K","array([ 44.82915344, -44.38270532])"
432,"GOUDA, N","array([ 48.86729216, -46.8394198 ])"
433,"CHIBA, T","array([ 46.13557762, -36.63860495])"
434,"IKEUCHI, S","array([ 55.07125259, -38.16810775])"
435,"NAKAMURA, T","array([ 54.57641821, -39.20328347])"
436,"SHIBATA, M","array([ 47.57494737, -40.16042656])"
437,"KOMBERG, BV","array([ 66.61961888, -27.33309361])"
438,"KRAVTSOV, AV","array([ 61.01467437, -16.66339966])"
439,"LUKASH, VN","array([62.70041945, -9.78766663])"
440,"WANG, B","array([ 162.90913579, -181.27528561])"
441,"HOLLAND, S","array([ 58.56114643, -28.22488257])"
442,"FAHLMAN, GG","array([ 55.8447601 , -23.02859379])"
443,"RICHER, HB","array([ 53.5216138 , -23.45934701])"
444,"VADAS, SL","array([-162.84918072,  -20.63642808])"
445,"CLARKE, CJ","array([ 53.9822224 , -33.04886941])"
